level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1971	3100	-1	
2	1	1	0	0	0	10	38	1946	173	-1	
3	1	1	1	0	0	10	38	1946	173	-1	
4	1	1	1	1	0	10	38	1946	83	-1	
5	1	1	1	1	1	10	38	1946	83	95.000000	  
4	1	1	1	2	0	10	121	385	90	-1	
5	1	1	1	2	1	10	121	385	90	95.000000	  
2	1	2	0	0	0	11	352	1949	60	-1	
3	1	2	1	0	0	11	352	1949	60	-1	
4	1	2	1	1	0	11	352	1949	60	-1	
5	1	2	1	1	1	41	373	19	38	0.000000	रि
5	1	2	1	1	2	212	348	405	80	21.997967	गि
5	1	2	1	1	3	1393	348	281	80	34.100327	ae!
5	1	2	1	1	4	1747	348	65	80	40.175915	१
5	1	2	1	1	5	1887	348	75	80	46.422459	४२
2	1	3	0	0	0	254	352	20	59	-1	
3	1	3	1	0	0	254	352	20	59	-1	
4	1	3	1	1	0	254	352	20	59	-1	
5	1	3	1	1	1	254	352	20	59	55.602829	॥
2	1	4	0	0	0	395	161	1181	243	-1	
3	1	4	1	0	0	395	161	1181	243	-1	
4	1	4	1	1	0	395	161	1181	243	-1	
5	1	4	1	1	1	395	161	1181	243	0.000000	व्त्राग्तिखुर्‌
5	1	4	1	1	2	468	172	67	20	96.196419	सर्वाधिक
5	1	4	1	1	3	546	172	42	20	95.187088	बिक्री
5	1	4	1	1	4	598	174	21	25	96.775635	हुने
5	1	4	1	1	5	630	172	55	25	94.395561	राष्ट्रिय
5	1	4	1	1	6	695	171	45	21	95.573723	दैनिक
2	1	5	0	0	0	258	204	538	166	-1	
3	1	5	1	0	0	258	204	538	166	-1	
4	1	5	1	1	0	258	204	538	166	-1	
5	1	5	1	1	1	258	204	538	166	45.529003	“नशा
2	1	6	0	0	0	796	121	1	245	-1	
3	1	6	1	0	0	796	121	1	245	-1	
4	1	6	1	1	0	796	121	1	245	-1	
5	1	6	1	1	1	796	121	1	245	95.000000	   
