level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	200	540	-1	
2	1	1	0	0	0	4	21	195	519	-1	
3	1	1	1	0	0	4	21	195	519	-1	
4	1	1	1	1	0	4	21	127	19	-1	
5	1	1	1	1	1	4	21	59	19	96.083679	कान्तिपुर
5	1	1	1	1	2	68	23	63	14	95.998871	संवाददाता
4	1	1	1	2	0	4	64	195	23	-1	
5	1	1	1	2	1	4	64	60	18	90.404144	काठमाडौं-
5	1	1	1	2	2	72	66	57	16	96.972649	सरकारको
5	1	1	1	2	3	137	66	34	21	95.951279	नेतृत्व
5	1	1	1	2	4	179	65	20	17	93.503471	गर्न
4	1	1	1	3	0	4	88	167	18	-1	
5	1	1	1	3	1	4	88	62	17	96.636978	राजनीतिक
5	1	1	1	3	2	74	89	50	17	96.855469	दलहरूले
5	1	1	1	3	3	132	89	39	16	94.336334	राखेका
4	1	1	1	4	0	4	111	192	17	-1	
5	1	1	1	4	1	4	111	21	17	96.132256	सर्त
5	1	1	1	4	2	32	116	7	12	92.660294	र
5	1	1	1	4	3	47	111	51	17	92.660294	भाषाप्रति
5	1	1	1	4	4	106	112	90	16	92.668053	प्रधानन्यायाधीश
4	1	1	1	5	0	4	134	157	22	-1	
5	1	1	1	5	1	4	134	49	17	96.961060	खिलराज
5	1	1	1	5	2	60	135	39	16	96.359169	रेग्मीले
5	1	1	1	5	3	107	134	54	22	82.925148	असन्तुष्टि
4	1	1	1	6	0	4	157	165	20	-1	
5	1	1	1	6	1	4	161	50	15	96.776627	जनाएका
5	1	1	1	6	2	62	161	22	16	92.949265	छन्‌
5	1	1	1	6	3	90	162	2	11	92.709549	।
5	1	1	1	6	4	100	157	28	16	96.676140	त्यही
5	1	1	1	6	5	136	161	33	12	96.833694	कारण
4	1	1	1	7	0	4	179	136	20	-1	
5	1	1	1	7	1	4	184	53	12	94.861458	मंगलबार
5	1	1	1	7	2	64	179	20	17	96.747673	गर्ने
5	1	1	1	7	3	92	179	48	20	96.266571	भनिएको
4	1	1	1	8	0	4	202	188	22	-1	
5	1	1	1	8	1	4	202	58	18	96.468964	सहमतिमा
5	1	1	1	8	2	70	207	47	12	95.551971	हस्ताक्षर
5	1	1	1	8	3	125	207	18	17	96.647072	हुन
5	1	1	1	8	4	150	203	33	16	92.980194	सकेन
5	1	1	1	8	5	191	208	1	10	92.428749	।
4	1	1	1	9	0	22	225	151	17	-1	
5	1	1	1	9	1	22	226	33	16	96.737946	दलीय
5	1	1	1	9	2	63	225	59	17	96.666748	सहमतिका
5	1	1	1	9	3	129	225	44	17	96.798233	कतिपय
4	1	1	1	10	0	4	247	167	21	-1	
5	1	1	1	10	1	4	248	32	17	94.488365	विषय
5	1	1	1	10	2	44	249	45	16	96.951332	संशोधन
5	1	1	1	10	3	97	248	43	20	96.130638	भएपछि
5	1	1	1	10	4	147	247	24	18	95.719162	मात्रै
4	1	1	1	11	0	4	271	180	22	-1	
5	1	1	1	11	1	4	272	35	21	96.786362	नेतृत्व
5	1	1	1	11	2	46	271	24	17	96.915779	लिन
5	1	1	1	11	3	78	272	27	16	95.962959	सक्ने
5	1	1	1	11	4	113	272	31	16	96.861122	उनले
5	1	1	1	11	5	151	272	33	16	96.440872	संकेत
4	1	1	1	12	0	4	294	169	20	-1	
5	1	1	1	12	1	4	295	33	16	96.446228	गरेका
5	1	1	1	12	2	45	294	22	20	93.129044	थिए
5	1	1	1	12	3	75	300	2	11	92.859123	।
5	1	1	1	12	4	85	294	50	18	96.383362	त्यसलाई
5	1	1	1	12	5	142	294	31	20	96.694824	लिएर
4	1	1	1	13	0	4	318	173	19	-1	
5	1	1	1	13	1	4	318	68	19	95.870041	एमाओवादी,
5	1	1	1	13	2	80	318	40	19	96.224213	कांग्रेस,
5	1	1	1	13	3	128	318	34	19	95.400368	एमाले
5	1	1	1	13	4	170	322	7	12	96.361931	र
4	1	1	1	14	0	4	340	193	17	-1	
5	1	1	1	14	1	4	341	35	16	96.248505	मधेसी
5	1	1	1	14	2	47	340	46	17	96.742371	मोर्चाको
5	1	1	1	14	3	101	345	52	12	89.924103	मंगलबार
5	1	1	1	14	4	161	341	36	16	81.301445	बसेको
4	1	1	1	15	0	4	362	192	18	-1	
5	1	1	1	15	1	4	362	30	18	90.037537	बैठक
5	1	1	1	15	2	42	364	60	16	96.696159	संशोधनमा
5	1	1	1	15	3	110	368	31	12	96.969772	तयार
5	1	1	1	15	4	149	363	37	17	93.103569	देखियो
